"Week","Year_Tank","Abundance","scAbundance","Recipient"
12,"2019_Joint1",0,-1.77537896023556,"Phytopla1"
14,"2019_Joint1",0,-1.77537896023556,"Phytopla1"
16,"2019_Joint1",27,-0.538410594108914,"Phytopla1"
18,"2019_Joint1",653,0.631255651616042,"Phytopla1"
20,"2019_Joint1",66,-0.214528855270261,"Phytopla1"
NA,"2019_Joint1",NA,NA,"Phytopla1"
2,"2019_Joint2",600202,3.16366147725208,"Phytopla1"
4,"2019_Joint2",720140,3.2312893123991,"Phytopla1"
6,"2019_Joint2",102,-0.0548923795038211,"Phytopla1"
8,"2019_Joint2",0,-1.77537896023556,"Phytopla1"
10,"2019_Joint2",2,-1.36755625800622,"Phytopla1"
12,"2019_Joint2",43,-0.370626384489498,"Phytopla1"
14,"2019_Joint2",0,-1.77537896023556,"Phytopla1"
16,"2019_Joint2",0,-1.77537896023556,"Phytopla1"
18,"2019_Joint2",0,-1.77537896023556,"Phytopla1"
20,"2019_Joint2",0,-1.77537896023556,"Phytopla1"
NA,"2019_Joint2",NA,NA,"Phytopla1"
2,"2017_Cont1",0,-1.19319431220275,"Roti1"
4,"2017_Cont1",29,0.870286851483355,"Roti1"
6,"2017_Cont1",27,0.828429389311499,"Roti1"
8,"2017_Cont1",124,1.73610773389644,"Roti1"
10,"2017_Cont1",129,1.75990264896208,"Roti1"
12,"2017_Cont1",92,1.55670010059495,"Roti1"
14,"2017_Cont1",75,1.43422940651747,"Roti1"
16,"2017_Cont1",40,1.05980225040497,"Roti1"
18,"2017_Cont1",29,0.870286851483355,"Roti1"
20,"2017_Cont1",40,1.05980225040497,"Roti1"
NA,"2017_Cont1",NA,NA,"Roti1"
2,"2017_Cont2",8,0.139845502589103,"Roti1"
4,"2017_Cont2",3,-0.352139830355184,"Roti1"
6,"2017_Cont2",38,1.02946130006783,"Roti1"
8,"2017_Cont2",85,1.50922507453787,"Roti1"
10,"2017_Cont2",3,-0.352139830355184,"Roti1"
12,"2017_Cont2",0,-1.19319431220275,"Roti1"
14,"2017_Cont2",4,-0.216760296836352,"Roti1"
16,"2017_Cont2",41,1.07442205578364,"Roti1"
18,"2017_Cont2",16,0.52569515880674,"Roti1"
20,"2017_Cont2",25,0.783468633595685,"Roti1"
NA,"2017_Cont2",NA,NA,"Roti1"
2,"2017_Fipro1",0,-1.19319431220275,"Roti1"
4,"2017_Fipro1",57,1.2702462730622,"Roti1"
6,"2017_Fipro1",11,0.314380077040742,"Roti1"
8,"2017_Fipro1",184,1.9739567537327,"Roti1"
10,"2017_Fipro1",15,0.48891465149238,"Roti1"
12,"2017_Fipro1",3,-0.352139830355184,"Roti1"
14,"2017_Fipro1",3,-0.352139830355184,"Roti1"
16,"2017_Fipro1",0,-1.19319431220275,"Roti1"
18,"2017_Fipro1",0,-1.19319431220275,"Roti1"
20,"2017_Fipro1",24,0.759673718530044,"Roti1"
NA,"2017_Fipro1",NA,NA,"Roti1"
2,"2017_Fipro2",582,2.67033750653564,"Roti1"
4,"2017_Fipro2",122,1.7263221578009,"Roti1"
6,"2017_Fipro2",11,0.314380077040742,"Roti1"
8,"2017_Fipro2",50,1.19221506620266,"Roti1"
10,"2017_Fipro2",5,-0.10614716388304,"Roti1"
12,"2017_Fipro2",4,-0.216760296836352,"Roti1"
14,"2017_Fipro2",10,0.261590921547288,"Roti1"
16,"2017_Fipro2",0,-1.19319431220275,"Roti1"
18,"2017_Fipro2",3,-0.352139830355184,"Roti1"
20,"2017_Fipro2",29,0.870286851483355,"Roti1"
NA,"2017_Fipro2",NA,NA,"Roti1"
2,"2017_Pent1",17,0.560372743512885,"Roti1"
4,"2017_Pent1",25,0.783468633595685,"Roti1"
6,"2017_Pent1",14,0.449759610559573,"Roti1"
8,"2017_Pent1",16,0.52569515880674,"Roti1"
10,"2017_Pent1",17,0.560372743512885,"Roti1"
12,"2017_Pent1",0,-1.19319431220275,"Roti1"
14,"2017_Pent1",8,0.139845502589103,"Roti1"
16,"2017_Pent1",5,-0.10614716388304,"Roti1"
18,"2017_Pent1",0,-1.19319431220275,"Roti1"
20,"2017_Pent1",31,0.909441892416162,"Roti1"
NA,"2017_Pent1",NA,NA,"Roti1"
2,"2017_Pent2",0,-1.19319431220275,"Roti1"
4,"2017_Pent2",24,0.759673718530044,"Roti1"
6,"2017_Pent2",186,1.98048039255677,"Roti1"
8,"2017_Pent2",87,1.52317264431863,"Roti1"
10,"2017_Pent2",178,1.95395408819206,"Roti1"
12,"2017_Pent2",89,1.53680675887928,"Roti1"
14,"2017_Pent2",123,1.73123467504659,"Roti1"
16,"2017_Pent2",134,1.78279942535142,"Roti1"
18,"2017_Pent2",120,1.71637615529732,"Roti1"
20,"2017_Pent2",32,0.928110828943213,"Roti1"
NA,"2017_Pent2",NA,NA,"Roti1"
2,"2017_Joint1",359,2.37786124072684,"Roti1"
4,"2017_Joint1",21,0.68211816247107,"Roti1"
6,"2017_Joint1",53,1.22689265090881,"Roti1"
8,"2017_Joint1",536,2.62047399558798,"Roti1"
10,"2017_Joint1",43,1.10264540339485,"Roti1"
12,"2017_Joint1",8,0.139845502589103,"Roti1"
14,"2017_Joint1",14,0.449759610559573,"Roti1"
16,"2017_Joint1",3,-0.352139830355184,"Roti1"
18,"2017_Joint1",3,-0.352139830355184,"Roti1"
20,"2017_Joint1",7,0.068387410568598,"Roti1"
NA,"2017_Joint1",NA,NA,"Roti1"
2,"2017_Joint2",0,-1.19319431220275,"Roti1"
4,"2017_Joint2",72,1.40979553134533,"Roti1"
6,"2017_Joint2",97,1.5884713680544,"Roti1"
8,"2017_Joint2",13,0.407902148387717,"Roti1"
10,"2017_Joint2",13,0.407902148387717,"Roti1"
12,"2017_Joint2",7,0.068387410568598,"Roti1"
14,"2017_Joint2",26,0.806365409985029,"Roti1"
16,"2017_Joint2",0,-1.19319431220275,"Roti1"
18,"2017_Joint2",2,-0.526674404806822,"Roti1"
20,"2017_Joint2",14,0.449759610559573,"Roti1"
NA,"2017_Joint2",NA,NA,"Roti1"
2,"2018_Cont1",2,-0.526674404806822,"Roti1"
4,"2018_Cont1",23,0.734907317964523,"Roti1"
6,"2018_Cont1",37,1.01370216559369,"Roti1"
